Summary
Project;EPS - Home team (0-0)  
Date;23-05-2026
Competition;
Season;
Local Team;EPS
Visitor Team;Home team
Result;0 - 0

CATEGORY: Pass
Name;Time;Start;Stop;Team;Player;Pass;Through pass;Cross;Throw-in;Corner;Free kick;assist;progressive ;goal kick;success;failed
Pass 001;0:46,620;0:40,620;0:50,620;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 002;0:50,280;0:44,280;0:54,280;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 003;0:57,280;0:51,280;1:01,280;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 004;1:22,060;1:16,060;1:26,060;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 005;1:23,800;1:17,800;1:27,800;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 006;1:29,200;1:23,200;1:33,200;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 007;1:33,780;1:27,780;1:37,780;;15-laine S. ;0;0;0;0;0;1;0;0;0;1;0
Pass 008;1:37,260;1:31,260;1:41,260;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 009;1:41,860;1:35,860;1:45,860;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 010;1:45,300;1:39,300;1:49,300;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 011;3:28,320;3:22,320;3:32,320;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 012;3:30,420;3:24,420;3:34,420;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 013;3:33,000;3:27,000;3:37,000;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 014;3:35,040;3:29,040;3:39,040;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 015;3:36,540;3:30,540;3:40,540;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 016;3:57,380;3:51,380;4:01,380;;29-Haapalainen R. ;1;0;0;0;0;0;0;0;0;1;0
Pass 017;4:55,180;4:49,180;4:59,180;;10-Talvitie E. ;0;0;0;0;0;1;0;0;0;0;1
Pass 018;5:23,940;5:17,940;5:27,940;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 019;5:24,980;5:18,980;5:28,980;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 020;5:26,680;5:20,680;5:30,680;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 021;6:35,647;6:29,647;6:39,647;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;0;1;1;0
Pass 022;6:37,567;6:31,567;6:41,567;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 023;6:39,767;6:33,767;6:43,767;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 024;6:46,287;6:40,287;6:50,287;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 025;8:04,307;7:58,307;8:08,307;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;0;1;1;0
Pass 026;8:06,387;8:00,387;8:10,387;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
